"Municipio","Clave.INEGI","ln_A","Ranking","Score"
"Cuautitlán","15024",4.07827392848718,1,100
"Polotitlán","15071",4.04243363821155,2,98.6274994821937
"Chicoloapan","15029",3.69233244512657,3,85.2204074888433
"Acolman","15002",3.59458641459728,4,81.4772325177916
"Naucalpan de Juárez","15057",3.50303648604734,5,77.9713366845382
"Tlalnepantla de Baz","15104",3.43091348006971,6,75.2093930091726
"Metepec","15054",3.30502600720626,7,70.3885441722449
"Almoloya de Juárez","15005",3.29070471977824,8,69.8401118281026
"Huixquilucan","15037",3.2684573443019,9,68.9881506936843
"Tultitlán","15109",3.25537319192243,10,68.4870943189235
"Ocoyoacac","15062",3.24007936902125,11,67.9014188210498
"Tepotzotlán","15095",3.23135541943169,12,67.5673359987039
"Tlatlaya","15105",3.16156398881063,13,64.894679780543
"Chiautla","15028",3.13399298986136,14,63.8388509900033
"Tlalmanalco","15103",3.12781725326238,15,63.6023517425153
"Otumba","15065",3.08333393672128,16,61.8988673533861
"Tultepec","15108",3.00264084151735,17,58.8087329236966
"Santo Tomás","15078",2.99859164544423,18,58.6536693440123
"Texcoco","15099",2.98050290110074,19,57.9609625945143
"Zacualpan","15117",2.9654839303838,20,57.3858125349753
"Joquicingo","15049",2.95573650163116,21,57.0125356751232
"Lerma","15051",2.93353907434718,22,56.1624873019952
"Atlacomulco","15014",2.89993394727722,23,54.8755821472167
"Ecatepec de Morelos","15033",2.88530840911142,24,54.3154985499191
"Temamatla","15083",2.88037642799658,25,54.1266288007661
"Tepetlaoxtoc","15093",2.87607456233549,26,53.9618892631684
"Tecámac","15081",2.87394993305627,27,53.8805267863733
"Toluca","15106",2.85462138027166,28,53.1403416901785
"Jilotepec","15045",2.8350882854238,29,52.3923236750655
"Villa Guerrero","15113",2.77552734650287,30,50.1114431665279
"Atizapán","15012",2.77419696803825,31,50.0604964493688
"Nezahualcóyotl","15058",2.76980661608886,32,49.8923683377508
"Xalatlaco","15043",2.75263826170993,33,49.2349078346759
"Teoloyucan","15091",2.73281564698823,34,48.4758026834458
"Coatepec Harinas","15021",2.72447407107571,35,48.1563628248064
"Isidro Fabela","15038",2.72441369776863,36,48.154050834736
"Calimaya","15018",2.72106812050355,37,48.0259322705901
"Jaltenco","15044",2.71609124257706,38,47.835343202292
"Atizapán de Zaragoza","15013",2.70687604410576,39,47.4824480505987
"Melchor Ocampo","15053",2.67226018355697,40,46.156836953084
"San Felipe del Progreso","15074",2.66663040392709,41,45.9412450759614
"San Mateo Atenco","15076",2.65778888662519,42,45.6026600092187
"Zinacantepec","15118",2.64597026527336,43,45.1500670251664
"Papalotla","15069",2.64222565631697,44,45.0066675802371
"Villa Victoria","15114",2.63576269797445,45,44.7591692033141
"Malinalco","15052",2.63094988511025,46,44.5748629910201
"Nextlalpan","15059",2.6260250377426,47,44.3862664280395
"Tianguistenco","15101",2.60850813200017,48,43.7154581835483
"Jocotitlán","15048",2.59836095022375,49,43.326872819554
"Juchitepec","15050",2.58583447154379,50,42.8471725062386
"Amanalco","15007",2.56609023716991,51,42.0910689229968
"Chalco","15025",2.5643151669874,52,42.0230927786656
"Tenancingo","15088",2.56375030155037,53,42.0014613103139
"Chimalhuacán","15031",2.54160743167524,54,41.1535022079848
"Tenango del Valle","15090",2.53931295788013,55,41.0656355515584
"Cuautitlán Izcalli","15121",2.53454702323888,56,40.8831245363674
"Tonatico","15107",2.53376575856704,57,40.853206079837
"Chiconcuac","15030",2.52936796491491,58,40.6847929889178
"Apaxco","15010",2.52680642397191,59,40.5866990213856
"Temascalapa","15084",2.50428104682853,60,39.7240918394876
"Amecameca","15009",2.48785139457677,61,39.0949198643303
"Texcalyacac","15098",2.48626041150589,62,39.0339933184846
"La Paz","15070",2.46914983793913,63,38.3787455261333
"Hueypoxtla","15036",2.46913379667162,64,38.3781312273148
"Tepetlixpa","15094",2.46163637217533,65,38.091018067119
"Coacalco de Berriozábal","15020",2.45850989355194,66,37.9712898646823
"Otzolotepec","15067",2.44329137602803,67,37.3884981790909
"Ixtlahuaca","15042",2.4421639874385,68,37.3453249399516
"Tequixquiac","15096",2.43393623641027,69,37.0302439944633
"San Martín de las Pirámides","15075",2.42321240830639,70,36.6195760140354
"Huehuetoca","15035",2.42242737914267,71,36.5895133966452
"Capulhuac","15019",2.42041721081512,72,36.5125341911415
"Valle de Chalco Solidaridad","15122",2.40851080391411,73,36.0565794678073
"Morelos","15056",2.4030349043173,74,35.8468804119604
"Mexicaltzingo","15055",2.40178426853423,75,35.7989874332303
"Axapusco","15016",2.39388925300681,76,35.4966485621962
"Nicolás Romero","15060",2.39316189447373,77,35.4687944361383
"Rayón","15072",2.38977695621375,78,35.3391685464251
"El Oro","15064",2.37031896283601,79,34.5940265349892
"Almoloya de Alquisiras","15004",2.32819269681055,80,32.9808051718659
"Ixtapan de la Sal","15040",2.32315071008976,81,32.7877227684637
"Temoaya","15087",2.32057767436375,82,32.6891886093055
"Acambay","15001",2.31279869215815,83,32.3912932233283
"Villa del Carbón","15112",2.29775694220858,84,31.8152708352361
"Zumpango","15120",2.27347717637193,85,30.8854795046764
"Nopaltepec","15061",2.25729964824887,86,30.265962599122
"Teotihuacán","15092",2.25292382381444,87,30.0983908173119
"Ixtapan del Oro","15041",2.23704907826353,88,29.4904689416487
"Ocuilan","15063",2.21742882690731,89,28.7391132763121
"Otzoloapan","15066",2.19784990774712,90,27.9893404235034
"Temascaltepec","15086",2.19656374666169,91,27.940087006688
"Zumpahuacán","15119",2.17613593203642,92,27.1578057825345
"Valle de Bravo","15110",2.17373031371305,93,27.0656828569365
"San Simón de Guerrero","15077",2.16173883503249,94,26.6064703178708
"Luvianos","15123",2.16095311824388,95,26.5763813679507
"Ixtapaluca","15039",2.15049571595051,96,26.1759161386745
"Tejupilco","15082",2.13005561910097,97,25.3931645679073
"Cocotitlán","15022",2.10158520859237,98,24.3028928969833
"Atenco","15011",2.01936126749189,99,21.154134868837
"Sultepec","15080",1.98054772747387,100,19.667774034063
"San Antonio la Isla","15073",1.97348490809269,101,19.3973040355417
"Almoloya del Río","15006",1.95914346705887,102,18.848099910976
"Soyaniquilpan de Juárez","15079",1.94207831468193,103,18.194591518782
"Xonacatlán","15115",1.92277503047403,104,17.4553740803364
"Amatepec","15008",1.90836463835094,105,16.9035294803446
"Atlautla","15015",1.90776419678819,106,16.8805356276319
"Tenango del Aire","15089",1.88995604623045,107,16.1985741905535
"Ecatzingo","15034",1.87003875308103,108,15.4358433379113
"Chapultepec","15027",1.86269059192002,109,15.1544462029872
"Ayapango","15017",1.86157385226239,110,15.1116807636849
"Chapa de Mota","15026",1.84739967740626,111,14.568882081534
"Texcaltitlán","15097",1.83677290387983,112,14.1619307969473
"Temascalcingo","15085",1.83315188270848,113,14.0232641345278
"Ozumba","15068",1.82416849902094,114,13.6792463079985
"Jiquipilco","15047",1.81370507715502,115,13.278550559762
"Aculco","15003",1.80236097903518,116,12.8441293978859
"Zacazonapan","15116",1.7842078331364,117,12.148956396934
"Villa de Allende","15111",1.73966644011264,118,10.4432479744078
"Tezoyuca","15100",1.69749356693488,119,8.82824179480644
"Jilotzingo","15046",1.6433749111413,120,6.75577300260537
"San José del Rincón","15124",1.58844445988917,121,4.65221658029149
"Coyotepec","15023",1.58425634427299,122,4.49183308987809
"Donato Guerra","15032",1.57010172828064,123,3.94978341256109
"Timilpan","15102",1.56657653491503,124,3.8147864668764
"Tonanitla","15125",1.46696050378164,125,0
